LC_Type1,LST_Day_1km,pr,aet,NDVI,EVI,Gpp
10.0,1.0850952,-1.2004504,-1.6140351,-0.950292,-0.7123288,2351.0
10.0,1.325781,-0.5698198,-0.24390244,-1.0890187,-0.90106547,2702.0
9.0,-0.8761329,-0.47522524,-0.8245614,-0.21193562,-0.19685438,5221.0
5.0,0.25528702,0.27477476,0.22379118,0.27659878,0.20649417,12709.0
5.0,-0.20090635,-0.11486486,-0.11553273,0.4016522,-0.0010147133,11309.0
8.0,-0.41238672,0.35135135,-0.54428756,-0.2042444,-0.55809236,6644.0
14.0,0.35687312,0.44144145,0.3928113,0.07662726,-0.02891933,14187.0
5.0,0.19335347,0.41216215,0.37869063,0.5207235,0.23541349,15055.0
4.0,0.34717977,0.44144145,0.3928113,0.07719698,-0.0065956367,19186.0
10.0,0.8361027,-0.5878378,-0.18356867,-0.5141718,-0.35261288,5598.0
10.0,0.78927493,-0.5472973,-0.059050065,-0.46546075,-0.09436834,5147.0
12.0,1.0246723,-0.1036036,0.77920413,-0.62612164,-0.31202435,7283.0
8.0,-1.8111782,-0.9684685,-1.0376551,-0.12234724,-0.44190767,6417.0
8.0,-1.7756797,-0.9684685,-1.0376551,-0.051417176,-0.33409438,6862.0
8.0,-1.8070241,-0.9684685,-1.0376551,-0.07662726,-0.38863522,7588.0
4.0,-0.10347432,1.0833334,0.9400941,0.16977638,-0.08219178,13718.0
12.0,0.43202418,0.045045044,0.54343176,-0.52357215,-0.2881786,8294.0
7.0,-2.1324275,-0.6779279,-0.75438595,-1.484404,-1.2587519,4537.0
8.0,-2.305136,-0.9707207,-1.0081301,-0.54607606,-0.9223744,5265.0
10.0,-0.75,-0.8603604,-0.8694908,-0.8739496,-0.6347032,4024.0
