LC_Type1,LST_Day_1km,pr,aet,NDVI,EVI,Gpp
8.0,-0.41238672,0.35135135,-0.54428756,-0.2042444,-0.55809236,5152.1196
14.0,0.35687312,0.44144145,0.3928113,0.07662726,-0.02891933,13601.601
5.0,0.19335347,0.41216215,0.37869063,0.5207235,0.23541349,17465.9
4.0,0.34717977,0.44144145,0.3928113,0.07719698,-0.0065956367,13110.0
10.0,0.8361027,-0.5878378,-0.18356867,-0.5141718,-0.35261288,9982.42
10.0,0.78927493,-0.5472973,-0.059050065,-0.46546075,-0.09436834,4397.38
12.0,1.0246723,-0.1036036,0.77920413,-0.62612164,-0.31202435,10896.2
8.0,-1.8111782,-0.9684685,-1.0376551,-0.12234724,-0.44190767,4382.04
8.0,-1.7756797,-0.9684685,-1.0376551,-0.051417176,-0.33409438,4958.98
8.0,-1.8070241,-0.9684685,-1.0376551,-0.07662726,-0.38863522,8591.3
4.0,-0.10347432,1.0833334,0.9400941,0.16977638,-0.08219178,12780.0
12.0,0.43202418,0.045045044,0.54343176,-0.52357215,-0.2881786,11744.699
7.0,-2.1324275,-0.6779279,-0.75438595,-1.484404,-1.2587519,4061.81
8.0,-2.305136,-0.9707207,-1.0081301,-0.54607606,-0.9223744,2185.67
